version,circuit,trojan,old_status,new_status,transition,old_runtime_ms,new_runtime_ms,old_over_new_runtime,old_area_delta,new_reported_area_delta,old_level_delta,new_reported_level_delta
v0,c5315,c5315_trojan28,CEC_FAIL,PASS,GAIN,1409.890,1045.930,,6,-1,0,0
v0,c5315,c5315_trojan29,PASS,PASS,PASS_STABLE,42090.000,15185.800,2.771668,8,-1,0,0
v0,c5315,c5315_trojan3,PASS,PASS,PASS_STABLE,14908.600,3737.730,3.988678,8,-1,0,0
v0,c5315,c5315_trojan30,PASS,PASS,PASS_STABLE,29214.000,7318.690,3.991698,4,-1,0,0
v0,c5315,c5315_trojan31,CEC_FAIL,TIMEOUT,FAIL_STABLE,538532.000,,,2502,,32,
v0,c5315,c5315_trojan32,PASS,PASS,PASS_STABLE,20211.100,5883.440,3.435252,10,-1,0,0
v0,c5315,c5315_trojan33,CEC_FAIL,PASS,GAIN,34229.200,11214.500,,5,-1,0,0
v0,c5315,c5315_trojan34,PASS,PASS,PASS_STABLE,1924.760,1642.220,1.172048,6,6,0,0
v0,c5315,c5315_trojan35,PASS,PASS,PASS_STABLE,28383.300,9406.890,3.017288,7,-1,0,0
v0,c5315,c5315_trojan36,PASS,PASS,PASS_STABLE,22992.400,5850.320,3.930110,4,-1,1,-11
v0,c5315,c5315_trojan37,CEC_FAIL,PASS,GAIN,168295.000,162656.000,,461,-1,20,0
v0,c5315,c5315_trojan38,FAIL,TIMEOUT,FAIL_STABLE,569189.000,,,,,,
v0,c5315,c5315_trojan39,CEC_FAIL,PASS,GAIN,22717.600,10196.600,,3,-1,0,0
v0,c5315,c5315_trojan4,PASS,PASS,PASS_STABLE,43749.600,16452.100,2.659211,2,-1,0,0
v0,c5315,c5315_trojan40,CEC_FAIL,PASS,GAIN,152911.000,138188.000,,491,-1,17,0
v0,c5315,c5315_trojan41,PASS,PASS,PASS_STABLE,30583.100,11295.500,2.707547,10,-1,0,-9
v0,c5315,c5315_trojan42,PASS,PASS,PASS_STABLE,1395.210,555.546,2.511421,4,-1,0,0
v0,c5315,c5315_trojan43,FAIL,PASS,GAIN,343950.000,283064.000,,,-1,,0
v0,c5315,c5315_trojan44,PASS,PASS,PASS_STABLE,32462.400,11641.300,2.788555,7,-1,1,-11
v0,c5315,c5315_trojan45,PASS,PASS,PASS_STABLE,2272.100,773.710,2.936630,6,-1,14,0
v0,c5315,c5315_trojan46,PASS,PASS,PASS_STABLE,14824.200,3506.270,4.227912,7,-1,0,0
v0,c5315,c5315_trojan47,PASS,PASS,PASS_STABLE,25569.800,7166.590,3.567917,7,-1,0,0
v0,c5315,c5315_trojan48,PASS,TIMEOUT,REGRESSION,87582.600,,,8,,0,
v0,c5315,c5315_trojan49,CEC_FAIL,PASS,GAIN,5243.390,23763.600,,221,-1,19,0
v0,c5315,c5315_trojan5,PASS,PASS,PASS_STABLE,30379.200,8746.400,3.473338,7,-1,0,0
v0,c5315,c5315_trojan50,PASS,PASS,PASS_STABLE,61863.100,35678.000,1.733928,7,-1,0,-11
v0,c5315,c5315_trojan51,PASS,PASS,PASS_STABLE,101750.000,30940.900,3.288527,2,-1,0,0
v0,c5315,c5315_trojan52,CEC_FAIL,PASS,GAIN,243557.000,201188.000,,827,-1,37,-2
v0,c5315,c5315_trojan53,PASS,PASS,PASS_STABLE,16116.200,6360.390,2.533838,4,-1,1,-4
v0,c5315,c5315_trojan54,PASS,PASS,PASS_STABLE,39872.200,13090.200,3.045958,4,-1,1,-4
v0,c5315,c5315_trojan55,CEC_FAIL,CEC_FAIL,FAIL_STABLE,31437.200,59953.500,,4,14,1,7
v0,c5315,c5315_trojan56,PASS,PASS,PASS_STABLE,33137.100,9018.830,3.674213,4,-1,0,-5
v0,c5315,c5315_trojan57,PASS,PASS,PASS_STABLE,29261.100,8014.440,3.651047,6,-1,0,-8
v0,c5315,c5315_trojan58,PASS,PASS,PASS_STABLE,33681.300,9219.530,3.653256,2,-1,0,0
v0,c5315,c5315_trojan59,PASS,PASS,PASS_STABLE,1340.060,617.290,2.170876,-1,-1,-5,-5
v0,c5315,c5315_trojan6,PASS,PASS,PASS_STABLE,34348.400,8582.710,4.002046,8,-1,0,0
