circuit,trojan,success,gt_verify,vn_rounds,cec_rounds,runtime_ms,area_delta,level_delta,rule_method,dt_builds,optimizer_calls,optimizer_solver_ms,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan
c2670,c2670_trojan72,PASS,PASS,0,0,383.598,-1,-3,z3-pb,1,1,10.8624,1,1,1,-1,-3
c2670,c2670_trojan73,PASS,PASS,0,0,569.923,-1,-2,z3-pb,1,1,6.3237,1,1,1,-1,-2
c2670,c2670_trojan74,PASS,PASS,0,0,654.132,-1,0,z3-pb,1,1,6.572,1,1,1,-1,0
c2670,c2670_trojan75,PASS,PASS,0,0,2646.35,-1,-5,z3-pb,1,1,5.5415,1,1,1,-1,-5
c2670,c2670_trojan76,PASS,PASS,0,0,413.319,-1,-2,z3-pb,1,1,6.8486,1,1,1,-1,-2
c2670,c2670_trojan77,PASS,PASS,0,0,451.455,-1,0,z3-pb,1,1,5.5492,1,1,1,-1,0
c2670,c2670_trojan78,PASS,PASS,0,0,1553.95,-1,-5,z3-pb,1,1,7.1756,1,1,1,-1,-5
c2670,c2670_trojan79,PASS,PASS,0,0,925.73,-1,0,z3-pb,1,1,7.039,1,1,1,-1,0
c2670,c2670_trojan8,PASS,PASS,0,0,558.679,-1,-13,z3-pb,1,1,6.4248,1,1,1,-1,-13
c2670,c2670_trojan80,PASS,PASS,0,0,909.3,-1,-3,z3-pb,1,1,7.1494,1,1,1,-1,-3
c2670,c2670_trojan81,PASS,PASS,0,0,1662.27,-1,-2,z3-pb,1,1,5.8133,1,1,1,-1,-2
c2670,c2670_trojan82,PASS,PASS,0,0,407.472,-1,0,z3-pb,1,1,6.3535,1,1,1,-1,0
c2670,c2670_trojan83,PASS,PASS,0,2,864.16,-1,0,z3-pb,3,3,17.823800000000002,1,1,1,-1,0
c2670,c2670_trojan84,PASS,PASS,0,0,526.76,-1,0,z3-pb,1,1,6.3944,1,1,1,-1,0
c2670,c2670_trojan85,PASS,PASS,0,0,504.303,-1,0,z3-pb,1,1,5.7472,1,1,1,-1,0
c2670,c2670_trojan86,PASS,PASS,0,0,633.198,-1,0,z3-pb,1,1,6.5899,1,1,1,-1,0
c2670,c2670_trojan87,PASS,PASS,0,0,500.971,-1,-2,z3-pb,1,1,5.1006,1,1,1,-1,-2
c2670,c2670_trojan88,PASS,PASS,0,0,554.31,-1,0,z3-pb,1,1,6.2993,1,1,1,-1,0
c2670,c2670_trojan89,PASS,PASS,0,0,490.278,-1,-1,z3-pb,1,1,5.3585,1,1,1,-1,-1
c2670,c2670_trojan9,PASS,PASS,0,0,444.369,-1,-12,z3-pb,1,1,7.0768,1,1,1,-1,-12
c2670,c2670_trojan90,PASS,PASS,0,0,604.038,-1,0,z3-pb,1,1,6.5103,1,1,1,-1,0
c2670,c2670_trojan91,PASS,PASS,0,0,1157.36,-1,-7,z3-pb,1,1,5.7294,1,1,1,-1,-7
c2670,c2670_trojan92,PASS,PASS,0,0,756.135,-1,-7,z3-pb,1,1,6.76,1,1,1,-1,-7
c2670,c2670_trojan93,PASS,PASS,0,0,520.263,-1,0,z3-pb,1,1,6.408,1,1,1,-1,0
c2670,c2670_trojan94,PASS,PASS,0,0,616.392,-1,-4,z3-pb,1,1,6.8608,1,1,1,-1,-4
c2670,c2670_trojan95,PASS,PASS,0,0,466.327,-1,0,z3-pb,1,1,5.357,1,1,1,-1,0
