circuit	trojan_bench	groundtruth	gt_exists	main_exit	patched_bench	cec_result	cec_detail
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan3.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan3_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan4.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan4_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan5.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan5_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan6.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan6_round1_error_patterns.json	1	0	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan6_patched.bench	not_equiv	Networks are NOT EQUIVALENT.  Time =     0.01 sec | Verification failed for at least 1 outputs:  3851 | Output 3851: Value in Network1 = 1. Value in Network2 = 0. | Input pattern:  262=0 322=0 114=0 319=1 126=0 138=0 102=0 40=1 113=0 125=0 137=0 101=0 287=0 117=0 129=0 141=0 105=1 234=0 72=0 227=1 60=0 85=0 47=0 281=0 294=1 116=0 128=0 140=0 104=0 284=1 107=0 119=0 131=0 95=0 8=0 275=1 74=0 87=0 49=0 77=0 64=0 90=0 52=1 301=1 266=1 278=1 73=0 61=0 86=0 48=0 309=1 272=1 75=0 62=0 88=0 50=0 305=1 269=1 76=0 63=0 89=0 51=0 68=0 56=0 81=0 43=0 256=0 78=0 65=0 91=0 53=0 297=1 263=1 79=0 66=0 92=0 54=0 259=0
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan6_patched.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan6_patched_round1_error_patterns.json	0	skip_missing		not_run	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan7.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan7_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan8.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan8_round1_error_patterns.json	1	0	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan8_patched.bench	equivalent	Networks are equivalent after structural hashing.  Time =     0.00 sec
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan8_patched.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan8_patched_round1_error_patterns.json	0	skip_missing		not_run	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan9.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan9_round1_error_patterns.json	1	1		no_patch	
c3540	trojaned_bench/V1_singleTrigger_multiPayload/c3540/c3540_trojan0.bench	groundtruth/V1_singleTrigger_multiPayload/c3540/c3540_trojan0_round1_error_patterns.json	1	1		no_patch	
