circuit,trojan,a_status,b_status,c_status,a_runtime_ms,b_runtime_ms,c_runtime_ms,b_over_c_runtime,a_cec_rounds,b_cec_rounds,c_cec_rounds,a_dt_builds,b_dt_builds,c_dt_builds,b_effective_rules,b_effective_literals,b_effective_depth,c_effective_rules,c_effective_literals,c_effective_depth,formal_miter_status,formal_miter_added,formal_miter_fn,formal_miter_fp,formal_miter_retries,formal_miter_proved,formal_miter_total_ms
c2670,c2670_trojan50,PASS,PASS,PASS,376.374,365.668,545.518,0.6703133535465374,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,87.9247
c2670,c2670_trojan51,PASS,PASS,PASS,653.198,607.804,1464.15,0.4151241334562715,1,1,0,2,2,3,1,1,1,1,1,1,proved,10,0,10,2,1,305.9097
c2670,c2670_trojan52,PASS,PASS,PASS,581.914,592.178,823.457,0.7191365183610073,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,81.983
c2670,c2670_trojan53,PASS,PASS,PASS,1592.0,1602.36,3108.89,0.5154122532479438,0,0,0,1,1,2,1,1,1,1,1,1,proved,5,0,5,1,1,207.2798
c2670,c2670_trojan54,PASS,PASS,PASS,504.983,411.913,532.978,0.7728517875034242,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,80.6842
c2670,c2670_trojan55,PASS,PASS,PASS,448.131,429.174,558.321,0.7686868306941704,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,89.1168
c2670,c2670_trojan56,PASS,PASS,PASS,501.562,509.26,650.57,0.7827904760440844,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,95.4455
c2670,c2670_trojan57,PASS,PASS,PASS,569.241,508.721,706.737,0.719816565426743,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,86.5809
c2670,c2670_trojan58,PASS,PASS,PASS,608.125,565.887,713.462,0.7931564680389425,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,83.1733
c2670,c2670_trojan59,PASS,PASS,PASS,389.082,386.893,507.283,0.7626768490172152,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,81.914
