case_id,circuit,trojan,z3_status,dac_status,transition,both_pass,z3_runtime_ms,dac_runtime_ms,z3_wall_ms,dac_wall_ms,golden_aig_nodes,golden_aig_levels,trojan_aig_nodes,trojan_aig_levels,z3_aig_nodes,z3_aig_levels,dac_aig_nodes,dac_aig_levels,z3_delta_nodes_vs_trojan,dac_delta_nodes_vs_trojan,z3_delta_levels_vs_trojan,dac_delta_levels_vs_trojan,z3_minus_dac_nodes,z3_minus_dac_levels,node_winner,level_winner,dac_target_count,dac_patch_inputs,dac_runeco_added_gates,z3_effective_rules,z3_effective_literals,z3_effective_depth,z3_cec_replay,dac_cec_replay
c2670_trojan51,c2670,c2670_trojan51,PASS,PASS,both_pass,1,1464.15,5606.93,1606.5462440019473,5702.4771579308435,717,21,599,24,584,19,584,19,-15,-15,-5,-5,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan52,c2670,c2670_trojan52,PASS,PASS,both_pass,1,823.457,4844.5,996.54806999024,4950.6380199454725,717,21,597,19,582,18,582,18,-15,-15,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan53,c2670,c2670_trojan53,PASS,PASS,both_pass,1,3108.89,5844.83,3269.3572510033846,5955.577578977682,717,21,598,25,582,19,582,19,-16,-16,-6,-6,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan54,c2670,c2670_trojan54,PASS,PASS,both_pass,1,532.978,3984.47,694.0284490119666,4100.295181968249,717,21,598,19,583,17,583,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan55,c2670,c2670_trojan55,PASS,PASS,both_pass,1,558.321,4920.8,697.1219980623573,5003.1404859619215,717,21,597,19,581,18,581,18,-16,-16,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan56,c2670,c2670_trojan56,PASS,PASS,both_pass,1,650.57,3659.39,796.2882269639522,3749.4982180651277,717,21,599,22,583,19,583,19,-16,-16,-3,-3,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan57,c2670,c2670_trojan57,PASS,PASS,both_pass,1,706.737,3317.99,847.5971529260278,3449.087501037866,717,21,596,19,582,17,582,17,-14,-14,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan58,c2670,c2670_trojan58,PASS,PASS,both_pass,1,713.462,4631.5,852.3865829920396,4759.993101935834,717,21,598,19,583,18,583,18,-15,-15,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan59,c2670,c2670_trojan59,PASS,PASS,both_pass,1,507.283,3382.59,650.6404299288988,3494.6564940037206,717,21,598,23,584,19,584,19,-14,-14,-4,-4,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan6,c2670,c2670_trojan6,PASS,PASS,both_pass,1,531.05,2266.43,663.2494919467717,2316.2005230551586,717,21,737,32,735,31,717,21,-2,-20,-1,-11,18,10,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
