circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
c5315,c5315_trojan15,PASS,PASS,1,17814.8,4,0,0
c5315,c5315_trojan16,PASS,PASS,1,65092.4,8,0,0
c5315,c5315_trojan17,PASS,PASS,1,1499.49,4,0,0
c5315,c5315_trojan18,FAIL,FAIL,1,121730,,,0
c5315,c5315_trojan19,PASS,PASS,1,24978.7,7,0,0
c5315,c5315_trojan1,PASS,PASS,1,80418.5,4,0,0
c5315,c5315_trojan20,FAIL,FAIL,1,298935,,,0
c5315,c5315_trojan21,FAIL,FAIL,1,357485,,,0
c5315,c5315_trojan22,PASS,PASS,1,30490.7,7,0,0
c5315,c5315_trojan23,FAIL,FAIL,1,275306,,,0
c5315,c5315_trojan24,PASS,PASS,1,74532.4,9,0,0
c5315,c5315_trojan25,PASS,PASS,1,24647.8,10,0,0
c5315,c5315_trojan26,PASS,PASS,1,1946.57,7,0,0
c5315,c5315_trojan27,PASS,PASS,1,49375.7,8,0,0
c5315,c5315_trojan28,PASS,PASS,2,3132.5,6,0,1
c5315,c5315_trojan29,PASS,PASS,1,41990.2,8,0,0
c5315,c5315_trojan2,PASS,PASS,1,66278.9,8,0,0
c5315,c5315_trojan30,PASS,PASS,1,29552.5,4,0,0
c5315,c5315_trojan31,CEC_FAIL,PASS,2,992603,2502,32,1
c5315,c5315_trojan32,PASS,PASS,1,20410.8,10,0,0
c5315,c5315_trojan33,CEC_FAIL,PASS,5,179568,26,5,5
c5315,c5315_trojan34,PASS,PASS,1,2029.14,6,0,0
c5315,c5315_trojan35,PASS,PASS,1,29015.8,7,0,0
c5315,c5315_trojan36,PASS,PASS,1,22794.7,4,1,0
c5315,c5315_trojan37,CEC_FAIL,PASS,2,348566,461,20,1
c5315,c5315_trojan38,FAIL,FAIL,1,573983,,,0
c5315,c5315_trojan39,PASS,PASS,2,41670.7,3,0,1
c5315,c5315_trojan3,PASS,PASS,1,15208.7,8,0,0
c5315,c5315_trojan40,CEC_FAIL,PASS,5,791246,492,30,5
c5315,c5315_trojan41,PASS,PASS,1,32558,10,0,0
c5315,c5315_trojan42,PASS,PASS,1,1439.09,4,0,0
c5315,c5315_trojan43,FAIL,FAIL,2,333143,,,0
c5315,c5315_trojan44,PASS,PASS,1,30004,7,1,0
c5315,c5315_trojan45,PASS,PASS,1,2331.38,6,14,0
c5315,c5315_trojan46,PASS,PASS,1,13898.1,7,0,0
c5315,c5315_trojan47,PASS,PASS,1,23650,7,0,0
c5315,c5315_trojan48,PASS,PASS,1,86141.3,8,0,0
c5315,c5315_trojan49,CEC_FAIL,PASS,3,16058.4,193,25,2
c5315,c5315_trojan4,PASS,PASS,1,43452.1,2,0,0
c5315,c5315_trojan50,PASS,PASS,1,64686.4,7,0,0
c5315,c5315_trojan51,PASS,PASS,1,90798.4,2,0,0
c5315,c5315_trojan52,CEC_FAIL,PASS,2,495236,827,37,1
c5315,c5315_trojan53,PASS,PASS,1,14864.1,4,1,0
c5315,c5315_trojan54,PASS,PASS,1,39158.5,4,1,0
c5315,c5315_trojan55,CEC_FAIL,PASS,5,175807,18,6,5
c5315,c5315_trojan56,PASS,PASS,1,33268.7,4,1,0
c5315,c5315_trojan57,PASS,PASS,1,28270.5,6,0,0
c5315,c5315_trojan58,PASS,PASS,1,33401.5,2,0,0
c5315,c5315_trojan59,PASS,PASS,1,1354.83,-1,-5,0
c5315,c5315_trojan5,PASS,PASS,1,29518.1,7,0,0
c5315,c5315_trojan60,PASS,PASS,1,65127.3,4,0,0
c5315,c5315_trojan61,PASS,PASS,1,24754.7,4,1,0
c5315,c5315_trojan62,PASS,PASS,1,37375.4,5,0,0
c5315,c5315_trojan63,PASS,PASS,1,23924.8,4,0,0
c5315,c5315_trojan64,PASS,PASS,1,56909.1,4,0,0
c5315,c5315_trojan65,PASS,PASS,1,17992.7,2,0,0
c5315,c5315_trojan66,FAIL,FAIL,1,217209,,,0
c5315,c5315_trojan67,PASS,PASS,1,1707.86,4,0,0
c5315,c5315_trojan68,FAIL,FAIL,1,148230,,,0
c5315,c5315_trojan69,PASS,PASS,1,23630.4,4,1,0
c5315,c5315_trojan6,PASS,PASS,1,34699.2,8,0,0
c5315,c5315_trojan70,CEC_FAIL,PASS,4,763777,1206,15,1
c5315,c5315_trojan71,FAIL,FAIL,1,371418,,,0
c5315,c5315_trojan72,PASS,PASS,1,27309,4,0,0
