circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta
c5315,c5315_trojan18,FAIL,FAIL,1,119961,,
c5315,c5315_trojan19,PASS,PASS,1,25066,7,0
c5315,c5315_trojan1,PASS,PASS,1,86908.2,4,0
c5315,c5315_trojan20,FAIL,FAIL,1,294957,,
c5315,c5315_trojan21,FAIL,FAIL,1,370941,,
c5315,c5315_trojan22,PASS,PASS,1,31185.3,7,0
c5315,c5315_trojan23,FAIL,FAIL,1,294155,,
c5315,c5315_trojan24,PASS,PASS,1,75851.7,9,0
c5315,c5315_trojan25,PASS,PASS,1,23536.7,10,0
c5315,c5315_trojan26,PASS,PASS,1,2017.88,7,0
c5315,c5315_trojan27,FAIL,FAIL,1,49980.6,,
c5315,c5315_trojan28,CEC_FAIL,PASS,1,1409.89,6,0
c5315,c5315_trojan29,PASS,PASS,1,42090,8,0
c5315,c5315_trojan2,PASS,PASS,1,66336.1,8,0
c5315,c5315_trojan30,PASS,PASS,1,29214,4,0
c5315,c5315_trojan31,CEC_FAIL,PASS,1,538532,2502,32
c5315,c5315_trojan32,PASS,PASS,1,20211.1,10,0
c5315,c5315_trojan33,CEC_FAIL,PASS,1,34229.2,5,0
c5315,c5315_trojan34,PASS,PASS,1,1924.76,6,0
c5315,c5315_trojan35,PASS,PASS,1,28383.3,7,0
c5315,c5315_trojan36,PASS,PASS,1,22992.4,4,1
c5315,c5315_trojan37,CEC_FAIL,PASS,1,168295,461,20
c5315,c5315_trojan38,FAIL,FAIL,1,569189,,
c5315,c5315_trojan39,CEC_FAIL,PASS,1,22717.6,3,0
c5315,c5315_trojan3,PASS,PASS,1,14908.6,8,0
c5315,c5315_trojan40,CEC_FAIL,PASS,1,152911,491,17
c5315,c5315_trojan41,PASS,PASS,1,30583.1,10,0
c5315,c5315_trojan42,PASS,PASS,1,1395.21,4,0
c5315,c5315_trojan43,FAIL,FAIL,2,343950,,
c5315,c5315_trojan44,PASS,PASS,1,32462.4,7,1
c5315,c5315_trojan45,PASS,PASS,1,2272.1,6,14
c5315,c5315_trojan46,PASS,PASS,1,14824.2,7,0
c5315,c5315_trojan47,PASS,PASS,1,25569.8,7,0
c5315,c5315_trojan48,PASS,PASS,1,87582.6,8,0
c5315,c5315_trojan49,CEC_FAIL,PASS,1,5243.39,221,19
c5315,c5315_trojan4,PASS,PASS,1,43749.6,2,0
c5315,c5315_trojan50,PASS,PASS,1,61863.1,7,0
c5315,c5315_trojan51,PASS,PASS,1,101750,2,0
c5315,c5315_trojan52,CEC_FAIL,PASS,1,243557,827,37
c5315,c5315_trojan53,PASS,PASS,1,16116.2,4,1
c5315,c5315_trojan54,PASS,PASS,1,39872.2,4,1
c5315,c5315_trojan55,CEC_FAIL,PASS,1,31437.2,4,1
c5315,c5315_trojan56,PASS,PASS,1,33137.1,4,0
c5315,c5315_trojan57,PASS,PASS,1,29261.1,6,0
c5315,c5315_trojan58,PASS,PASS,1,33681.3,2,0
c5315,c5315_trojan59,PASS,PASS,1,1340.06,-1,-5
c5315,c5315_trojan5,PASS,PASS,1,30379.2,7,0
c5315,c5315_trojan60,PASS,PASS,1,70846.2,4,0
c5315,c5315_trojan61,PASS,PASS,1,29537.9,4,1
c5315,c5315_trojan62,PASS,PASS,1,38895.6,5,0
c5315,c5315_trojan63,PASS,PASS,1,23769.9,4,0
c5315,c5315_trojan64,PASS,PASS,1,63203.9,4,0
c5315,c5315_trojan65,PASS,PASS,1,18040.4,2,0
c5315,c5315_trojan66,FAIL,FAIL,1,211341,,
c5315,c5315_trojan67,PASS,PASS,1,1988.64,4,0
c5315,c5315_trojan68,CEC_FAIL,PASS,1,147836,4880,28
c5315,c5315_trojan69,PASS,PASS,1,25443.5,4,1
c5315,c5315_trojan6,PASS,PASS,1,34348.4,8,0
c5315,c5315_trojan70,CEC_FAIL,PASS,2,387789,1206,15
c5315,c5315_trojan71,FAIL,FAIL,1,374189,,
c5315,c5315_trojan72,PASS,PASS,1,27992.1,4,0
c5315,c5315_trojan73,FAIL,FAIL,1,335519,,
c5315,c5315_trojan74,PASS,PASS,1,76395.1,7,0
c5315,c5315_trojan75,PASS,PASS,1,23941.4,4,0
c5315,c5315_trojan76,PASS,PASS,1,1493.4,4,0
c5315,c5315_trojan77,PASS,PASS,1,50950.9,4,0
c5315,c5315_trojan78,CEC_FAIL,PASS,1,37688.6,4,0
c5315,c5315_trojan79,PASS,PASS,1,35568.2,7,0
c5315,c5315_trojan7,CEC_FAIL,PASS,1,28618.1,10,1
c5315,c5315_trojan80,PASS,PASS,1,35905.4,2,0
c5315,c5315_trojan81,CEC_FAIL,PASS,2,420802,1231,32
c5315,c5315_trojan82,PASS,PASS,1,19257.9,4,3
c5315,c5315_trojan83,PASS,PASS,1,1540.38,4,1
c5315,c5315_trojan84,PASS,PASS,1,1603.23,7,0
c5315,c5315_trojan85,PASS,PASS,1,30785,4,1
c5315,c5315_trojan86,PASS,PASS,1,14232.9,6,0
c5315,c5315_trojan87,FAIL,FAIL,1,252782,,
c5315,c5315_trojan88,FAIL,FAIL,1,409658,,
c5315,c5315_trojan89,FAIL,FAIL,1,24200.1,,
c5315,c5315_trojan8,PASS,PASS,1,35037.4,4,0
c5315,c5315_trojan90,CEC_FAIL,PASS,1,152891,479,18
c5315,c5315_trojan91,PASS,PASS,1,27575.7,6,1
c5315,c5315_trojan92,PASS,PASS,1,1342.8,2,0
c5315,c5315_trojan93,FAIL,FAIL,1,288789,,
c5315,c5315_trojan94,PASS,PASS,1,29181.2,5,0
c5315,c5315_trojan95,PASS,PASS,1,2526.31,6,1
c5315,c5315_trojan96,PASS,PASS,1,14691.9,4,1
c5315,c5315_trojan97,PASS,PASS,1,25225.1,4,0
c5315,c5315_trojan98,CEC_FAIL,PASS,1,302613,1395,34
c5315,c5315_trojan99,CEC_FAIL,PASS,1,4148.64,192,7
c5315,c5315_trojan9,PASS,PASS,1,1062.02,-1,-8
c6288,c6288_trojan0,CEC_FAIL,PASS,1,21476.6,2,1
c7552,c7552_trojan0,PASS,PASS,1,27849.3,6,0
c7552,c7552_trojan10,ERROR_1,FAIL,0,,,
c7552,c7552_trojan11,PASS,PASS,1,7582.11,4,0
c7552,c7552_trojan12,PASS,PASS,1,33602.2,4,0
c7552,c7552_trojan13,CEC_FAIL,PASS,1,4165.85,2,0
c7552,c7552_trojan14,ERROR_1,FAIL,0,,,
c7552,c7552_trojan15,PASS,PASS,0,784.384,-1,0
c7552,c7552_trojan16,CEC_FAIL,PASS,1,3176.98,2,0
c7552,c7552_trojan17,CEC_FAIL,PASS,1,6825.68,3,0
c7552,c7552_trojan18,CEC_FAIL,PASS,0,812.891,-1,0
c7552,c7552_trojan19,PASS,PASS,1,38871,4,0
c7552,c7552_trojan1,PASS,PASS,1,21309.2,4,0
